OBJECTID,CODCNH,NOMBRE,DIRECCION,TELEFONO,TELEFONO2,TELEFAX,CODMU,MUNICIPIOS,CODPROV,PROVINCIAS,CODAUTO,COMUNIDADES,CODPOSTAL,NCAMAS,CODFI,FINALIDAD_ASISITENCIAL,CODPAT,DEPENDENCIA_PATRIMONIAL,CODFU,DEPENDENCIA_FUNCIONAL,ACREDOCENT,ESCOMPLE,FORCOMPLE,CODIDCOM,ALTA,CERRADO,CAPITAL,CIERREFECH,CONCIERTO,EMAIL,TAC,RM,GAM,HEM,ASD,LIT,BCO,ALI,SPECT,PET,MAMOS,DO,DIAL,X,Y,CalidadGeocodificacion
162,081000,HOSPITAL DE SANT CELONI.,"AV DE L'HOSPITAL, 19",938670617,938670617,938672311,082021,Sant Celoni,08,BARCELONA,09,CATALUÑA,08470,100,1,GENERAL,13,OTRO PRIVADO BENÉFICO,22,OTRO PRIVADO-BENÉFICO,N,N,N,,N,N,N,,Xhup,secretaria@hsceloni.es,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48632366400005,41.6876394860001,StreetAddressExt
163,081017,HOSPITAL UNIVERSITARI GENERAL DE CATALUNYA,"CR PEDRO I PONS, 1",935656000,935656000,935892618,082055,Sant Cugat del Vallès,08,BARCELONA,09,CATALUÑA,08195,286,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,N,,N,hgc@hgc.es,1,2,2,2,2,0,1,1,0,0,1,1,0,2.03665952700004,41.4687280090001,StreetAddress
164,081022,CASAL DE CURACIÓ,"CR MARIA VIDAL, 19",937590241,937590241,937500420,082191,Vilassar de Mar,08,BARCELONA,09,CATALUÑA,08340,81,13,GERIATRÍA Y/O LARGA ESTANCIA,13,OTRO PRIVADO BENÉFICO,22,OTRO PRIVADO-BENÉFICO,N,N,N,,N,N,N,,N,curacio@suport.org,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38739236500004,41.501687082,PointAddress
165,081038,HOSPITAL RESIDÈNCIA SANT CAMIL - CONSORCI SANITARI DEL GARRAF.,"RD SANT  CAMIL, S/N",938960025,938960025,938961287,082310,Sant Pere de Ribes,08,BARCELONA,09,CATALUÑA,08810,295,1,GENERAL,12,PRIVADO-BENÉFICO (IGLESIA),18,OTROS PÚBLICOS,S,N,N,,N,N,N,,Xhup,santcamil@hrsantcamil.es,1,0,0,0,0,0,0,0,0,0,0,0,0,1.76613999400007,41.2538499880001,POI
166,081056,CENTRES ASSISTENCIALS DR. EMILI MIRA I LÓPEZ (RECINTE TORRIBERA).,"CR PRAT DE LA RIBA, 171",934628926,934628926,934683742,082457,Santa Coloma de Gramenet,08,BARCELONA,09,CATALUÑA,08921,454,6,PSIQUIÁTRICO,6,COMUNIDAD AUTÓNOMA,18,OTROS PÚBLICOS,S,N,N,,N,N,N,,N,g.torribera@diba.es,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21333001600004,41.462396251,Manual
167,081069,FUNDACIÓ HOSPITAL DE L'ESPERIT SANT,"AV MOSSÈN JOSEP PONS I ROBADÀ, S/N",933869648,933860202,933850100,082457,Santa Coloma de Gramenet,08,BARCELONA,09,CATALUÑA,08923,177,1,GENERAL,13,OTRO PRIVADO BENÉFICO,22,OTRO PRIVADO-BENÉFICO,S,N,N,,N,N,N,,Xhup,mesteva@hes.scs.es / hesperitsant@hes.sc,1,0,0,0,0,0,0,0,0,0,1,0,0,2.21079733100004,41.439224445,StreetName
168,081075,HOSPITAL DE TERRASSA.,"CT TORREBONICA, S/N",937310007,937310007,937310959,082798,Terrassa,08,BARCELONA,09,CATALUÑA,08227,460,1,GENERAL,9,ENTIDADES PÚBLICAS,18,OTROS PÚBLICOS,S,N,N,,N,N,N,,Xhup,csdt@csdt.es,1,0,0,0,0,1,0,1,0,0,0,0,15,2.05520199900008,41.558555326,StreetName
169,081081,HOSPITAL DE SANT LLÀTZER,"PL DOCTOR ROBERT, 1",937837111,937837111,937831555,082798,Terrassa,08,BARCELONA,09,CATALUÑA,08221,77,13,GERIATRÍA Y/O LARGA ESTANCIA,13,OTRO PRIVADO BENÉFICO,18,OTROS PÚBLICOS,N,N,N,,N,N,N,,N,admissionsfsll@cst.cat,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01709962400003,41.5629585470001,PointAddress
170,081094,HOSPITAL UNIVERSITARI MÚTUA DE TERRASSA,"PL DOCTOR ROBERT, 5",937365050,937365050,937365059,082798,Terrassa,08,BARCELONA,09,CATALUÑA,08221,534,1,GENERAL,13,OTRO PRIVADO BENÉFICO,22,OTRO PRIVADO-BENÉFICO,S,N,N,,N,N,N,,Xhup,,1,0,0,1,1,0,0,0,0,0,0,0,0,2.01659752600006,41.5635015220001,PointAddress
171,081108,HOSPITAL  UNIVERSITARI DE VIC,"CR FRANCESC PLA ""EL VIGATA"", 1",938891111,938890125,938850308,082981,Vic,08,BARCELONA,09,CATALUÑA,08500,292,1,GENERAL,9,ENTIDADES PÚBLICAS,18,OTROS PÚBLICOS,S,N,N,,N,N,N,,Xhup,gerencia@hgv.es,1,1,0,0,0,0,0,0,0,0,0,0,27,2.26094360800005,41.936365939,StreetName
172,081115,CLÍNICA SANT JOSEP,"CR SANT SEGIMON, 3",938861700,938861090,938891779,082981,Vic,08,BARCELONA,09,CATALUÑA,08500,21,1,GENERAL,12,PRIVADO-BENÉFICO (IGLESIA),21,PRIVADO-BENÉFICO (IGLESIA),N,N,N,,N,N,N,,N,administracio@clinicasjv.com,0,0,0,0,0,0,0,0,0,0,1,0,0,2.26113118700005,41.9294950830001,StreetAddress
173,081120,HOSPITAL DE LA SANTA CREU,"RB HOSPITAL, 52",938833300,938833300,938895087,082981,Vic,08,BARCELONA,09,CATALUÑA,08500,127,13,GERIATRÍA Y/O LARGA ESTANCIA,13,OTRO PRIVADO BENÉFICO,22,OTRO PRIVADO-BENÉFICO,N,N,N,,N,N,N,,N,sjuridica@chv.cat,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25213599000006,41.928397547,StreetAddressExt
174,081141,HOSPITAL DE VILADECANS,"AV GAVÀ, 38",936590111,936590111,936590612,083015,Viladecans,08,BARCELONA,09,CATALUÑA,08840,110,1,GENERAL,1,SEGURIDAD SOCIAL,3,INSTITUTO CATALÁN DE LA SALUD,S,N,N,,N,N,N,,Xhup,gerencia@hv.scs.es,1,1,0,0,0,0,0,0,0,0,0,0,0,2.01397313000007,41.3124723110001,Manual
175,081189,HOSPITAL SANT ANTONI ABAT - CONSORCI SANITARI DEL GARRAF.,"CR SANT JOSEP, 21",938931616,938931616,938140042,083073,Vilanova i la Geltrú,08,BARCELONA,09,CATALUÑA,08800,111,13,GERIATRÍA Y/O LARGA ESTANCIA,13,OTRO PRIVADO BENÉFICO,18,OTROS PÚBLICOS,N,N,N,,N,N,N,,Xhup,fhcaa@retemail.es,0,0,0,0,0,0,0,0,0,0,0,0,29,1.72300218400005,41.228743115,StreetAddressExt
176,081192,CENTRE SOCIOSANITARI CAN TORRAS,"CT EL MASNOU A ALELLA, 11",935551994,935551994,935555559,080039,Alella,08,BARCELONA,09,CATALUÑA,08328,119,13,GERIATRÍA Y/O LARGA ESTANCIA,13,OTRO PRIVADO BENÉFICO,22,OTRO PRIVADO-BENÉFICO,N,N,N,,N,N,N,,N,jm.cuartero@fsfa.cat,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29828617900006,41.484694023,PointAddress
177,081213,HESTIA MARESME,"CR LEPANT, 13-21",931165279,931165279,937577251,081213,Mataró,08,BARCELONA,09,CATALUÑA,08301,125,13,GERIATRÍA Y/O LARGA ESTANCIA,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,N,,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44422911500004,41.5358764050001,PointAddress
178,081228,PRYTANIS SANT BOI CENTRE SOCIOSANITARI,"CR JOSEP TORRAS I BAGES, 55",936300931,936300931,936300877,082009,Sant Boi de Llobregat,08,BARCELONA,09,CATALUÑA,08830,122,13,GERIATRÍA Y/O LARGA ESTANCIA,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,N,,N,prytanis@prytanisresidencial.es,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04120307000005,41.348793932,StreetAddressExt
179,081234,CENTRE SOCIOSANITARI VERGE DEL PUIG,"CR CAMPINS, 37",938673995,938673995,938672311,082021,Sant Celoni,08,BARCELONA,09,CATALUÑA,08470,40,13,GERIATRÍA Y/O LARGA ESTANCIA,13,OTRO PRIVADO BENÉFICO,22,OTRO PRIVADO-BENÉFICO,N,N,N,,N,N,N,,N,residencia@hsceloni.cat,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48585930200005,41.6911209990001,PointAddress
180,081287,RESIDÈNCIA L'ESTADA,"CM DE LA MASIA, S/N",937926612,937926287,937926287,081976,Sant Andreu de Llavaneres,08,BARCELONA,09,CATALUÑA,08392,60,13,GERIATRÍA Y/O LARGA ESTANCIA,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,N,,N,estada@lestada.com,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49229708800004,41.56797419,StreetName
181,081304,RESIDÈNCIA PUIG-REIG,"CR LLOBREGAT, 75",938380045,938380045,,081751,Puig-reig,08,BARCELONA,09,CATALUÑA,08692,30,13,GERIATRÍA Y/O LARGA ESTANCIA,13,OTRO PRIVADO BENÉFICO,22,OTRO PRIVADO-BENÉFICO,N,N,N,,N,N,N,,N,cassbenefica2@logiccontrol.es,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87948173300003,41.9781191820001,StreetAddress
182,081311,RESIDÈNCIA SANTA SUSANNA,"CR FONT I BOET, 16",938654994,938654994,938653619,080333,Caldes de Montbui,08,BARCELONA,09,CATALUÑA,08140,64,13,GERIATRÍA Y/O LARGA ESTANCIA,13,OTRO PRIVADO BENÉFICO,22,OTRO PRIVADO-BENÉFICO,N,N,N,,N,N,N,,N,aros@fundaciostasusanna.cat,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16401400000007,41.6307870000001,PointAddress
183,081326,HOSPITAL DE MATARÓ,"CT CIRERA, 230",937417700,937417700,937417733,081213,Mataró,08,BARCELONA,09,CATALUÑA,08304,402,1,GENERAL,6,COMUNIDAD AUTÓNOMA,18,OTROS PÚBLICOS,S,N,N,,N,N,N,,Xhup,gerencia@csdm.es,1,1,0,0,1,0,0,0,0,0,0,0,0,2.43030160600006,41.555597182,Manual
184,081347,HOSPITAL UNIVERSITARI VALL D'HEBRON,"PS VALL D'HEBRON, 119-129",934894524,934894524,934894401,080193,Barcelona,08,BARCELONA,09,CATALUÑA,08035,1315,1,GENERAL,1,SEGURIDAD SOCIAL,3,INSTITUTO CATALÁN DE LA SALUD,S,N,N,,N,N,S,,Xhup,dirgerencia@vhebron.net,5,6,5,3,2,0,1,3,0,1,2,1,14,2.14164638800003,41.4276414340001,Manual
185,081350,CENTRE POLIVALENT CAN FOSC,"CT DE LLERONA, S/N",938432786,938432786,,080057,"Ametlla del Vallès, L'",08,BARCELONA,09,CATALUÑA,08480,56,13,GERIATRÍA Y/O LARGA ESTANCIA,6,COMUNIDAD AUTÓNOMA,22,OTRO PRIVADO-BENÉFICO,N,N,N,,N,N,N,,N,vbonet@fundaciovallparadis.es,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27332958800002,41.6622691260001,Manual
186,081379,HOSPITAL SOCIOSANITARI MUTUAM GÜELL,"CR MARE DE DÉU DE LA SALUT, 49",932133400,932133400,932102320,080193,Barcelona,08,BARCELONA,09,CATALUÑA,08024,167,13,GERIATRÍA Y/O LARGA ESTANCIA,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,N,mutuam@mutuam.com,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15676266200006,41.4113206270001,PointAddress
187,081402,"MÚTUA DE GRANOLLERS, MÚTUA DE PREVISIÓ SOCIAL A PRIMA FIXA","PL PAU CASALS, S/N",938708099,938708099,938790477,080961,Granollers,08,BARCELONA,09,CATALUÑA,08402,20,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,N,,N,rblanch@mutua.org,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28941100000003,41.6073015000001,StreetName
188,081430,HOSPITAL COMARCAL DE L'ALT PENEDÈS.,"CR ESPIRALL, S/N",938180440,938180440,938180491,083054,Vilafranca del Penedès,08,BARCELONA,09,CATALUÑA,08720,144,1,GENERAL,6,COMUNIDAD AUTÓNOMA,18,OTROS PÚBLICOS,S,N,N,,N,N,N,,Xhup,xvillanova@csap.scs.es,1,0,0,0,0,0,0,0,0,0,0,0,0,1.70436918300004,41.3564879520001,Manual
189,081458,ÀPTIMA CENTRE CLÍNIC - MÚTUA DE TERRASSA,"PL DOCTOR ROBERT, 5",937365072,937365072,937365009,082798,Terrassa,08,BARCELONA,09,CATALUÑA,08221,70,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,S,N,N,,N,N,N,,N,cmarin@mutuaterrassa.cat,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01659752600006,41.5635015220001,PointAddress
190,081461,INSTITUT CATALÀ D'ONCOLOGIA - HOSPITAL DURAN I REYNALS,"AV GRAN VIA, 203",933357011,933357652,932607783,081017,"Hospitalet de Llobregat, L'",08,BARCELONA,09,CATALUÑA,08908,126,8,ONCOLÓGICO,6,COMUNIDAD AUTÓNOMA,18,OTROS PÚBLICOS,N,N,N,,N,N,N,,Xhup,cserra@ico.scs.es,0,0,0,0,0,0,1,4,0,0,0,0,0,2.11117079800005,41.344924307,Manual
191,081483,SAR MONT MARTÍ,"CT CASSERRES (ABANS PO. LA SALA S/N), 1",938290138,938290138,938381306,081751,Puig-reig,08,BARCELONA,09,CATALUÑA,08692,20,13,GERIATRÍA Y/O LARGA ESTANCIA,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,N,,N,direccion.montmarti@domusvi.es,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87131500000004,41.9550525940001,Postal
192,081496,REGINA SAR,"CR MARE DE DÉU DEL COLL, 22",932848635,932848635,932846051,080193,Barcelona,08,BARCELONA,09,CATALUÑA,08023,12,13,GERIATRÍA Y/O LARGA ESTANCIA,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,N,direccion.regina@sarquavitae.es,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14957188100004,41.4090521140001,PointAddress
193,081537,CENTRE VALLPARADÍS,"CR SANT ANTONI, 52",937365030,937365036,937365009,082798,Terrassa,08,BARCELONA,09,CATALUÑA,08221,81,13,GERIATRÍA Y/O LARGA ESTANCIA,13,OTRO PRIVADO BENÉFICO,22,OTRO PRIVADO-BENÉFICO,N,N,N,,N,N,N,,N,gerenciamutua@mutuaterrassa.es,0,0,2,0,0,0,0,0,0,1,0,1,0,2.01660961200002,41.5648907280001,StreetAddressExt
194,081568,ITA MARESME,"CR BARÓ DE VIVER, 58",937530062,937530062,937533288,080095,Argentona,08,BARCELONA,09,CATALUÑA,08310,77,14,OTROS MONOGRÁFICOS,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,N,,N,itacat@itacat.com,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39601855100005,41.5489737840001,PointAddress
195,081574,CLÍNICA LLÚRIA,"PG MERCADER, 14",934882142,934334717,934878894,080193,Barcelona,08,BARCELONA,09,CATALUÑA,08008,40,6,PSIQUIÁTRICO,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,N,clinicalluria@cpbssm.org,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15987221900002,41.3924929,PointAddress
196,081580,ANTIC HOSPITAL DE SANT JAUME I SANTA MAGDALENA,"CR HOSPITAL, 29-31",937582800,937582800,937582813,081213,Mataró,08,BARCELONA,09,CATALUÑA,08301,70,13,GERIATRÍA Y/O LARGA ESTANCIA,9,ENTIDADES PÚBLICAS,18,OTROS PÚBLICOS,N,N,N,,N,N,N,,N,gerencia@csdm.es,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44885690200005,41.5396972140001,PointAddress
197,081593,PARC SANITARI SANT JOAN DE DÉU - NUMÀNCIA,"CR NUMÀNCIA, 7-13",933249600,933249600,933249603,080193,Barcelona,08,BARCELONA,09,CATALUÑA,08029,159,6,PSIQUIÁTRICO,13,OTRO PRIVADO BENÉFICO,22,OTRO PRIVADO-BENÉFICO,N,N,N,,N,N,S,,N,upps@pssjd.org,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14125100100006,41.3813705050001,PointAddress
198,081605,PRYTANIS HOSPITALET CENTRE SOCIOSANITARI,"CR APRESTADORA, 43-45",932988090,932988090,,081017,"Hospitalet de Llobregat, L'",08,BARCELONA,09,CATALUÑA,08902,104,13,GERIATRÍA Y/O LARGA ESTANCIA,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,N,,N,prytanis@prytanis.com,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13003411300002,41.3642542000001,PointAddress
199,081616,COMUNITAT TERAPÈUTICA ARENYS DE MUNT,"CT BARRI ORIENT  ""CAN ZARIQUIEY"", 26",937938006,937938006,937951037,080076,Arenys de Munt,08,BARCELONA,09,CATALUÑA,08358,42,6,PSIQUIÁTRICO,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,N,,N,ctam@ctm-salutmental.com,0,0,0,0,0,0,0,0,0,0,0,0,0,2.53148284700006,41.620505,Postal
200,081649,HOSPITAL SOCIOSANITARI PERE VIRGILI,"AV VALLCARCA, 169-205",932594000,932594000,932594005,080193,Barcelona,08,BARCELONA,09,CATALUÑA,08023,366,13,GERIATRÍA Y/O LARGA ESTANCIA,9,ENTIDADES PÚBLICAS,18,OTROS PÚBLICOS,N,N,N,,N,N,S,,N,pvirgili@perevirgili.catsalut.cat,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14207002600006,41.415848613,PointAddress
201,081661,BENITO MENNI COMPLEX ASSISTENCIAL EN SALUT MENTAL,"CR FRANCESC RIBAS, 59",938425035,938425035,,080961,Granollers,08,BARCELONA,09,CATALUÑA,08402,30,6,PSIQUIÁTRICO,12,PRIVADO-BENÉFICO (IGLESIA),21,PRIVADO-BENÉFICO (IGLESIA),N,N,N,,N,N,N,,N,hospital@hospitalbenitomenni.org,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29179322600004,41.613547263,StreetAddressExt
202,081672,HOSPITAL  SANITAS CIMA,"PS MANUEL GIRONA, 33",935522700,935522700,935522749,080193,Barcelona,08,BARCELONA,09,CATALUÑA,08034,83,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,N,infocima@sanitas.es,1,1,0,1,0,1,0,0,0,0,1,1,0,2.12365918900002,41.3910109170001,PointAddress
203,081683,PARC SANITARI SANT JOAN DE DEU - BRIANS 1.,"CT DE MARTORELL A CAPELLADES, ,23",937758000,937758000,937713661,082080,Sant Esteve Sesrovires,08,BARCELONA,09,CATALUÑA,08635,150,1,GENERAL,6,COMUNIDAD AUTÓNOMA,22,OTRO PRIVADO-BENÉFICO,N,N,N,,N,N,N,,N,joodircperi.dj@gencat.cat,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88302869500006,41.5034867680001,Manual
204,081694,INSTITUT CATALÀ D'ONCOLOGIA - HOSPITAL GERMANS TRIAS I PUJOL,"CT CANYET, S/N",934651200,934651200,934978843,080155,Badalona,08,BARCELONA,09,CATALUÑA,08916,36,8,ONCOLÓGICO,9,ENTIDADES PÚBLICAS,18,OTROS PÚBLICOS,N,N,N,,N,N,N,,Xhup,ccalle@iconcologia.net,0,0,0,0,0,0,0,3,0,0,0,0,0,2.22919372500007,41.478603795,StreetName
205,081706,CENTRE COLLSEROLA MUTUAL,"PS VALL D'HEBRON,, 159",933613900,933613900,933613913,080193,Barcelona,08,BARCELONA,09,CATALUÑA,08035,34,13,GERIATRÍA Y/O LARGA ESTANCIA,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,N,mutuam@mutuam.com,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14706349200003,41.4350104810001,PointAddress
206,081717,CENTRE SOCIOSANITARI SARQUAVITAE SANT JORDI,"CT SANT JOAN DESPÍ, 60",934752690,934752690,934709762,080734,Cornellà de Llobregat,08,BARCELONA,09,CATALUÑA,08940,51,13,GERIATRÍA Y/O LARGA ESTANCIA,13,OTRO PRIVADO BENÉFICO,22,OTRO PRIVADO-BENÉFICO,N,N,N,,N,N,N,,N,direccion.santjordi@sarquavitae.es,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06464944800007,41.3581965400001,PointAddress
207,081728,HOSPITAL GENERAL PENITENCIARI,"CT TORREBONICA, S/N",937317861,937317861,,082798,Terrassa,08,BARCELONA,09,CATALUÑA,08227,32,1,GENERAL,6,COMUNIDAD AUTÓNOMA,18,OTROS PÚBLICOS,N,N,N,,N,N,N,,N,suhp@cst.cat,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05310753900005,41.556818929,Manual
208,081739,CENTRE SOCIOSANITARI DE L'HOSPITALET - CONSORCI SANITARI INTEGRAL,"AV JOSEP MOLINS, 41",934407500,934407500,933334543,081017,"Hospitalet de Llobregat, L'",08,BARCELONA,09,CATALUÑA,08906,123,13,GERIATRÍA Y/O LARGA ESTANCIA,11,PRIVADO-BENÉFICO (CRUZ ROJA),18,OTROS PÚBLICOS,N,N,N,,N,N,N,,N,carmen.gimeno@sanitatintegral.org,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10633190000004,41.373773665,PointAddress
209,081740,SAR LA SALUT JOSEP SERVAT,"CR ANTEQUERA,, 8-18",932857512,932857512,,080193,Barcelona,08,BARCELONA,09,CATALUÑA,08024,56,13,GERIATRÍA Y/O LARGA ESTANCIA,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,N,info@sarquavitae.es,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15716762500006,41.413709829,PointAddress
210,081751,CLÍNICA CREU BLANCA,"PS REINA  ELISENDA  DE  MONTCADA,, 17",932522522,902202230,932042187,080193,Barcelona,08,BARCELONA,09,CATALUÑA,08034,51,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,N,inform@creublanca.es,3,5,0,0,1,0,0,0,0,0,1,1,0,2.11825506900004,41.398264919,PointAddress
211,081762,HESTIA GRÀCIA,"CR SECRETARI COLOMA, 95",934170400,934170400,932110065,080193,Barcelona,08,BARCELONA,09,CATALUÑA,08024,153,13,GERIATRÍA Y/O LARGA ESTANCIA,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,N,hestiagracia@hestiagracia.org,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16214781500003,41.4102245760001,PointAddress
212,081784,CENTRE SOCIOSANITARI D'ESPLUGUES,"VI AUGUSTA, 66-70",936406350,936406350,936520051,080771,Esplugues de Llobregat,08,BARCELONA,09,CATALUÑA,08950,131,13,GERIATRÍA Y/O LARGA ESTANCIA,13,OTRO PRIVADO BENÉFICO,22,OTRO PRIVADO-BENÉFICO,N,N,N,,N,N,N,,N,jcayetano@sjdsse.cat,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08487642000006,41.3827458380001,StreetAddress
213,081795,CENTRE SOCIOSANITARI RICARD FORTUNY,"AV GARRAF, 3",938172357,938172357,938904440,083054,Vilafranca del Penedès,08,BARCELONA,09,CATALUÑA,08720,187,13,GERIATRÍA Y/O LARGA ESTANCIA,9,ENTIDADES PÚBLICAS,18,OTROS PÚBLICOS,N,N,N,,N,N,N,,N,cssv@cssv.cat,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70516714000007,41.339919229,StreetAddressExt
214,081818,CENTRE RESIDENCIAL AMMA DIAGONAL,"CR LLACUNA, 120-122",933209630,933209630,,080193,Barcelona,08,BARCELONA,09,CATALUÑA,08018,5,13,GERIATRÍA Y/O LARGA ESTANCIA,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,N,direccion@diagonal.amavir.es,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19523661300002,41.403961184,PointAddress
215,081829,CENTRE FÒRUM,"CR LLULL, 410",932483000,932483000,,080193,Barcelona,08,BARCELONA,09,CATALUÑA,08019,223,13,GERIATRÍA Y/O LARGA ESTANCIA,9,ENTIDADES PÚBLICAS,18,OTROS PÚBLICOS,N,N,N,,N,N,S,,N,cforum@parcdesalutmar.cat,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21812594400006,41.4129792680001,PointAddress
216,081830,CENTRE SOCIOSANITARI BLAUCLÍNIC DOLORS ALEU,"CR MARQUÈS DE SANTA ANNA, 9",934343216,934343216,,080193,Barcelona,08,BARCELONA,09,CATALUÑA,08023,174,13,GERIATRÍA Y/O LARGA ESTANCIA,9,ENTIDADES PÚBLICAS,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,N,msanchez@blauclinic.cat,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14810789400002,41.4063868150001,PointAddress
217,081841,PARC SANITARI SANT JOAN DE DÉU - TIL·LERS,"CR MOSSOS D'ESQUADRA, 3",935705289,935705289,935702648,081249,Mollet del Vallès,08,BARCELONA,09,CATALUÑA,08100,10,6,PSIQUIÁTRICO,6,COMUNIDAD AUTÓNOMA,22,OTRO PRIVADO-BENÉFICO,N,N,N,,N,N,N,,N,qualitatiseguretat@pssjd.org,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03386476700007,41.352989516,Manual
218,081874,CLÍNICA GALATEA,"CR PALAFOLLS, 15-19",932057267,932057267,,080193,Barcelona,08,BARCELONA,09,CATALUÑA,08017,22,6,PSIQUIÁTRICO,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,N,info@clinica-galatea.com,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11343932200003,41.41077848,PointAddress
219,081885,HOSPITAL D'IGUALADA,"AV CATALUNYA, 11",938075500,938075500,938036915,081022,Igualada,08,BARCELONA,09,CATALUÑA,08700,280,1,GENERAL,9,ENTIDADES PÚBLICAS,18,OTROS PÚBLICOS,S,N,N,,N,N,N,,Xhup,fgcardona@csa.cat,1,1,0,0,0,0,0,0,0,0,1,0,22,1.61971021900007,41.588104421,PointAddress
220,081896,CENTRE SOCIAL I SANITARI FREDERICA MONTSENY,"CR ESLIDA, 6-8",936473525,936473525,932111428,083015,Viladecans,08,BARCELONA,09,CATALUÑA,08840,76,13,GERIATRÍA Y/O LARGA ESTANCIA,9,ENTIDADES PÚBLICAS,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,N,,N,mgrifol@chc.cat,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01799699400004,41.3216555980001,PointAddress
